Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,49-34,2 - 18:25,15,Donovan Harris,Field Goal Made,
,,,,2 - 18:25,,Ty Toney,Assist,
Marcus Johnson Jr.,Field Goal Made,,51-34,2 - 18:02,17,,,
,,,51-36,2 - 17:29,15,Donovan Harris,Field Goal Made,
,,,,2 - 17:28,,Taquan Givens,Assist,
Coris Williams Jr.,Field Goal Attempt,,,2 - 17:18,,,,Donovan Harris Defensive Rebound
,,,51-38,2 - 17:10,13,Denzel Council,Field Goal Made,
,,,,2 - 17:10,,Doniel Dean,Assist,
Tyrell Bellot-Green,Field Goal Attempt,,,2 - 16:45,,,,Taquan Givens Defensive Rebound
,,,51-41,2 - 16:37,10,Ty Toney,Three Point Made,
,,,,2 - 16:37,,Taquan Givens,Assist,
Tyrell Bellot-Green,Three Point Attempt,,,2 - 16:16,,,,Taquan Givens Defensive Rebound
Tyrell Bellot-Green,Defensive Foul,,,2 - 16:13,,,,
Tyrell Bellot-Green,Left the Game,Devocio Butler Entered the Game,,2 - 16:13,,,,
,,,51-42,2 - 16:13,9,Ty Toney,Free Throw Made,
,,Coris Williams Jr. Defensive Rebound,,2 - 16:13,,Ty Toney,Free Throw Attempt,
Kristian Keys,Field Goal Made,,53-42,2 - 16:06,11,,,
Devocio Butler,Assist,,,2 - 16:06,,,,
,,,,2 - 15:51,,Ty Toney,Turnover,
,,,,2 - 15:50,,Donovan Harris,Left the Game,Terrence Thompson Entered the Game
Coris Williams Jr.,Turnover,,,2 - 15:26,,,,
,,,,2 - 15:25,,Terrence Thompson,Steal,
,,,53-44,2 - 15:21,9,Denzel Council,Field Goal Made,
,,,,2 - 15:21,,Taquan Givens,Assist,
,,,,2 - 15:19,,Terrence Thompson,Defensive Foul,
Marcus Johnson Jr.,Three Point Attempt,,,2 - 14:55,,,,
,,,,2 - 14:53,,Doniel Dean,Blocked shot,
Jemerrio Jones,Offensive Rebound,,,2 - 14:52,,,,
Jemerrio Jones,Field Goal Made,,55-44,2 - 14:44,11,,,
Devocio Butler,Assist,,,2 - 14:42,,,,
,,,55-46,2 - 14:37,9,Doniel Dean,Field Goal Made,
,,,,2 - 14:37,,Taquan Givens,Assist,
Devocio Butler,Turnover,,,2 - 14:20,,,,
,,,,2 - 14:19,,Taquan Givens,Steal,
