Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,William Pfister Defensive Rebound,,1 - 4:17,,William Desilien,Free Throw Attempt,
,,,,1 - 4:08,,EJ Hubbard,Defensive Foul,
Brandon Austin,Field Goal Attempt,,,1 - 3:58,,,,Christopher Boucher Defensive Rebound
William Pfister,Defensive Foul,,,1 - 3:58,,,,
Treshaad Williams,Left the Game,,,1 - 3:58,,,,
Brandon Austin,Left the Game,Jalen Jackson Entered the Game,,1 - 3:58,,,,
Andrew Rogers,Entered the Game,,,1 - 3:58,,,,
,,,,1 - 3:58,,Christopher Boucher,Free Throw Attempt,NW College Offensive Rebound
,,,39-34,1 - 3:58,5,Christopher Boucher,Free Throw Made,
Benji Bell,Field Goal Attempt,,,1 - 3:46,,,,Christopher Boucher Defensive Rebound
,,,,1 - 3:41,,Christopher Boucher,Turnover,
Xavier Moon,Steal,,,1 - 3:40,,,,
Andrew Rogers,Field Goal Made,,41-34,1 - 3:34,7,,,
Xavier Moon,Assist,,,1 - 3:33,,,,
,,,,1 - 3:28,,EJ Hubbard,Field Goal Attempt,Christopher Boucher Offensive Rebound
Xavier Moon,Defensive Foul,,,1 - 3:28,,,,
William Pfister,Left the Game,Jordan Capps Entered the Game,,1 - 3:28,,,,
,,,41-35,1 - 3:28,6,Christopher Boucher,Free Throw Made,
,,,41-36,1 - 3:28,5,Christopher Boucher,Free Throw Made,
Benji Bell,Field Goal Attempt,Benji Bell Offensive Rebound,,1 - 3:17,,,,
,,,,1 - 3:14,,EJ Hubbard,Defensive Foul,
,,,,1 - 3:14,,EJ Hubbard,Left the Game,Ammar Rehman Entered the Game
Benji Bell,Free Throw Made,,42-36,1 - 3:14,6,,,
Benji Bell,Free Throw Attempt,,,1 - 3:14,,,,Christopher Boucher Defensive Rebound
,,,,1 - 3:00,,William Desilien,Turnover,
Xavier Moon,Steal,,,1 - 2:59,,,,
Xavier Moon,Field Goal Made,,44-36,1 - 2:55,8,,,
Andrew Rogers,Defensive Foul,,,1 - 2:49,,,,
,,,44-37,1 - 2:49,7,Daryle Morgan,Free Throw Made,
,,,44-38,1 - 2:49,6,Daryle Morgan,Free Throw Made,
,,,,1 - 2:33,,Colin May,Defensive Foul,
,,,,1 - 2:33,,Colin May,Left the Game,Tyler Chandler Entered the Game
Benji Bell,Free Throw Attempt,NW Florida Offensive Rebound,,1 - 2:33,,,,
Benji Bell,Free Throw Made,,45-38,1 - 2:33,7,,,
,,NW Florida Defensive Rebound,,1 - 2:18,,William Desilien,Field Goal Attempt,
Xavier Moon,Turnover,,,1 - 2:00,,,,
,,,,1 - 2:00,,Daryle Morgan,Steal,
