Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 9:39,,Jemerrio Jones,Three Point Attempt,Devocio Butler Offensive Rebound
,,,22-25,1 - 9:31,-3,Devocio Butler,Field Goal Made,
Emmanuel Omogbo,Turnover,,,1 - 9:17,,,,
,,,,1 - 9:00,,Jemerrio Jones,Turnover,
Andre Spight,Steal,,,1 - 8:58,,,,
Pat Birt,Turnover,,,1 - 8:54,,,,
,,,,1 - 8:53,,Marcus Johnson Jr.,Steal,
,,,,1 - 8:50,,Devocio Butler,Turnover,
Pat Birt,Three Point Attempt,,,1 - 8:36,,,,Marcus Johnson Jr. Defensive Rebound
,,Pat Birt Defensive Rebound,,1 - 8:11,,Marcus Johnson Jr.,Field Goal Attempt,
Pat Birt,Three Point Attempt,,,1 - 7:49,,,,Marcus Johnson Jr. Defensive Rebound
,,Emmanuel Omogbo Defensive Rebound,,1 - 7:41,,Devocio Butler,Field Goal Attempt,
Emmanuel Omogbo,Field Goal Attempt,,,1 - 7:24,,,,
,,,,1 - 7:22,,Jemerrio Jones,Blocked shot,
,,,,1 - 7:22,,Jemerrio Jones,Defensive Rebound,
,,South Plains Defensive Rebound,,1 - 7:18,,Evan Moorman,Three Point Attempt,
,,,,1 - 7:17,,Devocio Butler,Defensive Foul,
,,,,1 - 7:17,,Evan Moorman,Left the Game,Stefan Zecevic Entered the Game
,,,,1 - 7:17,,Ke`von Rice,Left the Game,Evan Moorman Entered the Game
Andre Horne,Free Throw Made,,23-25,1 - 7:17,-2,,,
Andre Horne,Free Throw Attempt,Emmanuel Omogbo Offensive Rebound,,1 - 7:17,,,,
Emmanuel Omogbo,Field Goal Attempt,South Plains Offensive Rebound,,1 - 7:13,,,,
Andre Horne,Left the Game,Brandon Neel Entered the Game,,1 - 7:13,,,,
Pat Birt,Three Point Made,,26-25,1 - 7:11,1 (L6),,,
Diamante Langston,Assist,,,1 - 7:11,,,,
,,,26-27,1 - 6:49,-1 (L7),Jemerrio Jones,Field Goal Made,
Pat Birt,Three Point Attempt,Brandon Neel Offensive Rebound,,1 - 6:29,,,,
Pat Birt,Offensive Foul,,,1 - 6:29,,,,
Pat Birt,Turnover,,,1 - 6:29,,,,
,,,,1 - 6:26,,Evan Moorman,Left the Game,
,,,,1 - 6:26,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 6:26,,Jemerrio Jones,Left the Game,
,,,,1 - 6:26,,Devocio Butler,Left the Game,
,,,,1 - 6:26,,Stefan Zecevic,Left the Game,
Andre Spight,Left the Game,,,1 - 6:26,,,,
