Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Evan Moorman,Three Point Attempt,,,1 - 8:44,,,,Brandon Jones Defensive Rebound
,,Jemerrio Jones Defensive Rebound,,1 - 8:35,,Sarp Gobeloglu,Three Point Attempt,
Tyrell Bellot-Green,Three Point Made,,28-24,1 - 8:26,4,,,
Jemerrio Jones,Assist,,,1 - 8:25,,,,
,,,,1 - 8:16,,Quinton Everett,Left the Game,Ben Glover Entered the Game
,,Jemerrio Jones Defensive Rebound,,1 - 8:07,,Ben Glover,Field Goal Attempt,
Evan Moorman,Turnover,,,1 - 7:59,,,,
,,,,1 - 7:58,,Ben Glover,Steal,
,,,,1 - 7:55,,Ben Glover,Field Goal Attempt,Lorenzo Bonam Offensive Rebound
,,,28-26,1 - 7:52,2,Lorenzo Bonam,Field Goal Made,
Jemerrio Jones,Field Goal Made,,30-26,1 - 7:36,4,,,
,,Coris Williams Jr. Defensive Rebound,,1 - 7:19,,Renard Suggs,Three Point Attempt,
Devocio Butler,Three Point Attempt,,,1 - 6:58,,,,Lorenzo Bonam Defensive Rebound
,,,,1 - 6:52,,Renard Suggs,Field Goal Attempt,Sarp Gobeloglu Offensive Rebound
,,,30-28,1 - 6:50,2,Sarp Gobeloglu,Field Goal Made,
Jemerrio Jones,Field Goal Attempt,,,1 - 6:37,,,,
,,,,1 - 6:35,,Renard Suggs,Blocked shot,
,,,,1 - 6:33,,Sarp Gobeloglu,Defensive Rebound,
,,,30-30,1 - 6:32,(T2),Renard Suggs,Field Goal Made,
,,,,1 - 6:31,,Sarp Gobeloglu,Assist,
Tyrell Bellot-Green,Three Point Attempt,Devocio Butler Offensive Rebound,,1 - 6:10,,,,
Devocio Butler,Field Goal Attempt,,,1 - 6:07,,,,Sarp Gobeloglu Defensive Rebound
,,,30-32,1 - 5:44,-2 (L3),Lorenzo Bonam,Field Goal Made,
Evan Moorman,Left the Game,,,1 - 5:36,,,,
Tyrell Bellot-Green,Left the Game,,,1 - 5:36,,,,
Coris Williams Jr.,Left the Game,,,1 - 5:36,,,,
Jemerrio Jones,Left the Game,,,1 - 5:36,,,,
Devocio Butler,Left the Game,,,1 - 5:36,,,,
,,,,1 - 5:36,,Renard Suggs,Left the Game,
,,,,1 - 5:36,,Ben Glover,Left the Game,
,,,,1 - 5:36,,Lorenzo Bonam,Left the Game,
,,,,1 - 5:36,,Brandon Jones,Left the Game,
,,,,1 - 5:36,,Sarp Gobeloglu,Left the Game,
