Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,26-35,1 - 4:46,-9,David Kadiri,Field Goal Made,
,,,,1 - 4:46,,Lincoln Davis,Assist,
Arlando Cook,Field Goal Made,,28-35,1 - 4:23,-7,,,
,,,28-37,1 - 4:07,-9,David Kadiri,Field Goal Made,
,,,,1 - 4:06,,Emmanuel Omogbo,Assist,
Devin Simms,Field Goal Attempt,Phabian Glasco Offensive Rebound,,1 - 3:50,,,,
Phabian Glasco,Field Goal Made,,30-37,1 - 3:47,-7,,,
,,Corlbe Evin Defensive Rebound,,1 - 3:36,,Emmanuel Omogbo,Field Goal Attempt,
Devin Simms,Field Goal Attempt,Phabian Glasco Offensive Rebound,,1 - 3:28,,,,
Phabian Glasco,Field Goal Attempt,Corlbe Evin Offensive Rebound,,1 - 3:26,,,,
Corlbe Evin,Field Goal Made,,32-37,1 - 3:23,-5,,,
,,,,1 - 3:23,,Andre Spight,Left the Game,
,,,,1 - 3:23,,David Kadiri,Left the Game,
,,,,1 - 3:23,,Pat Birt,Left the Game,
,,,,1 - 3:23,,Emmanuel Omogbo,Left the Game,
,,,,1 - 3:23,,Lincoln Davis,Left the Game,Pedro Konofino Entered the Game
,,,,1 - 3:23,,Andre Spight,Entered the Game,
,,,,1 - 3:23,,Pat Birt,Entered the Game,
,,,,1 - 3:23,,Brandon Neel,Entered the Game,
,,,,1 - 3:23,,Lincoln Davis,Entered the Game,
,,,32-39,1 - 3:01,-7,Andre Spight,Field Goal Made,
Corlbe Evin,Offensive Foul,,,1 - 2:31,,,,
Corlbe Evin,Turnover,,,1 - 2:31,,,,
,,,,1 - 2:31,,Brandon Neel,Charge,
,,,,1 - 2:08,,Pat Birt,Three Point Attempt,South Plains Offensive Rebound
,,Phabian Glasco Defensive Rebound,,1 - 2:02,,Andre Spight,Three Point Attempt,
Ronnie Boyce,Offensive Foul,,,1 - 1:57,,,,
Ronnie Boyce,Turnover,,,1 - 1:57,,,,
,,,,1 - 1:57,,Brandon Neel,Charge,
,,,,1 - 1:38,,Lincoln Davis,Field Goal Attempt,
Ronnie Boyce,Blocked shot,,,1 - 1:36,,,,
Ronnie Boyce,Defensive Rebound,,,1 - 1:34,,,,
,,,,1 - 1:32,,Lincoln Davis,Defensive Foul,
,,,,1 - 1:32,,Pat Birt,Left the Game,
,,,,1 - 1:32,,Lincoln Davis,Left the Game,Jerron Martin Entered the Game
,,,,1 - 1:32,,Andre Horne,Entered the Game,
Ronnie Boyce,Free Throw Attempt,Connors State Offensive Rebound,,1 - 1:32,,,,
Ronnie Boyce,Free Throw Made,,33-39,1 - 1:32,-6,,,
,,Arlando Cook Defensive Rebound,,1 - 1:08,,Brandon Neel,Field Goal Attempt,
Corlbe Evin,Field Goal Attempt,,,1 - 1:01,,,,Brandon Neel Defensive Rebound
Arlando Cook,Defensive Foul,,,1 - 0:58,,,,
Ronnie Boyce,Left the Game,Damari Edwards Entered the Game,,1 - 0:58,,,,
,,,,1 - 0:58,,Brandon Neel,Left the Game,Emmanuel Omogbo Entered the Game
,,,,1 - 0:58,,Jerron Martin,Free Throw Attempt,South Plains Offensive Rebound
,,,33-40,1 - 0:58,-7,Jerron Martin,Free Throw Made,
Phabian Glasco,Field Goal Attempt,,,1 - 0:25,,,,Andre Horne Defensive Rebound
,,,33-42,1 - 0:18,-9,Andre Horne,Field Goal Made,
Corlbe Evin,Three Point Attempt,Connors State Offensive Rebound,,1 - 0:00,,,,
Arlando Cook,Left the Game,,,2 - 20:00,,,,
Corlbe Evin,Left the Game,,,2 - 20:00,,,,
Damari Edwards,Left the Game,,,2 - 20:00,,,,
Phabian Glasco,Left the Game,,,2 - 20:00,,,,
Devin Simms,Left the Game,Arlando Cook Entered the Game,,2 - 20:00,,,,
3 Ronnie Boyce,Entered Game,,,,,,,
10 Damari Edwards,Entered Game,,,,,,,
22 Kayshaune Spencer,Entered Game,,,,,,,
33 Erick Broadnax,Entered Game,,,,,,,
,,,,2 - 20:00,,Jerron Martin,Left the Game,
,,,,2 - 20:00,,Andre Spight,Left the Game,
,,,,2 - 20:00,,Pedro Konofino,Left the Game,
,,,,2 - 20:00,,Emmanuel Omogbo,Left the Game,
,,,,2 - 20:00,,Andre Horne,Left the Game,
Arlando Cook,Left the Game,,,2 - 20:00,,,,
Ronnie Boyce,Left the Game,,,2 - 20:00,,,,
Damari Edwards,Left the Game,,,2 - 20:00,,,,
Kayshaune Spencer,Left the Game,,,2 - 20:00,,,,
Erick Broadnax,Left the Game,,,2 - 20:00,,,,
,,,,,,22 Brandon Neel,Entered Game,
3 Ronnie Boyce,Entered Game,,,,,,,
4 Corlbe Evin,Entered Game,,,,,,,
15 Phabian Glasco,Entered Game,,,,,,,
23 Devin Simms,Entered Game,,,,,,,
Ronnie Boyce,Field Goal Attempt,,,2 - 19:44,,,,
,,,,2 - 19:42,,Andre Spight,Blocked shot,
,,,,2 - 19:42,,Brandon Neel,Defensive Rebound,
,,Phabian Glasco Defensive Rebound,,2 - 19:26,,David Kadiri,Field Goal Attempt,
Arlando Cook,Field Goal Made,,35-42,2 - 19:08,-7,,,
Devin Simms,Assist,,,2 - 19:07,,,,
,,,35-45,2 - 18:48,-10,Emmanuel Omogbo,Three Point Made,
,,,,2 - 18:47,,Andre Spight,Assist,
Arlando Cook,Turnover,,,2 - 18:29,,,,
,,,35-47,2 - 18:14,-12,Brandon Neel,Field Goal Made,
Ronnie Boyce,Field Goal Attempt,,,2 - 17:53,,,,Emmanuel Omogbo Defensive Rebound
,,,,2 - 17:47,,David Kadiri,Turnover,
Corlbe Evin,Steal,,,2 - 17:47,,,,
Ronnie Boyce,Field Goal Made,,37-47,2 - 17:44,-10,,,
Corlbe Evin,Assist,,,2 - 17:43,,,,
,,,,2 - 17:43,,Emmanuel Omogbo,Defensive Foul,
Ronnie Boyce,Free Throw Made,,38-47,2 - 17:43,-9,,,
Phabian Glasco,Defensive Foul,,,2 - 17:35,,,,
,,,,2 - 17:35,,Emmanuel Omogbo,Free Throw Attempt,South Plains Offensive Rebound
,,,38-48,2 - 17:35,-10,Emmanuel Omogbo,Free Throw Made,
Arlando Cook,Field Goal Attempt,,,2 - 17:19,,,,Brandon Neel Defensive Rebound
,,,,2 - 17:05,,Jerron Martin,Three Point Attempt,Emmanuel Omogbo Offensive Rebound
,,,,2 - 16:49,,Andre Spight,Field Goal Attempt,David Kadiri Offensive Rebound
,,,,2 - 16:45,,David Kadiri,Turnover,
Arlando Cook,Steal,,,2 - 16:45,,,,
,,,,2 - 16:43,,Brandon Neel,Defensive Foul,
,,,,2 - 16:43,,David Kadiri,Left the Game,Marlon Jones Entered the Game
Phabian Glasco,Free Throw Attempt,Connors State Offensive Rebound,,2 - 16:43,,,,
Phabian Glasco,Free Throw Made,,39-48,2 - 16:43,-9,,,
,,,,2 - 16:31,,Marlon Jones,Field Goal Attempt,Emmanuel Omogbo Offensive Rebound
,,,,2 - 16:28,,Emmanuel Omogbo,Field Goal Attempt,Brandon Neel Offensive Rebound
Arlando Cook,Defensive Foul,,,2 - 16:27,,,,
,,,,2 - 16:27,,Marlon Jones,Offensive Foul,
,,,,2 - 16:27,,Marlon Jones,Turnover,
,,,,2 - 16:16,,Brandon Neel,Defensive Foul,
,,,,2 - 16:16,,Brandon Neel,Left the Game,Pat Birt Entered the Game
,,,,2 - 16:16,,Jerron Martin,Defensive Foul,
Devin Simms,Field Goal Attempt,Phabian Glasco Offensive Rebound,,2 - 16:06,,,,
Phabian Glasco,Turnover,,,2 - 16:05,,,,
,,,,2 - 16:05,,Pat Birt,Steal,
,,,,2 - 16:05,,Pat Birt,Jump Ball Won,
Ronnie Boyce,Defensive Foul,,,2 - 15:41,,,,
,,,,2 - 15:41,,Emmanuel Omogbo,Free Throw Attempt,South Plains Offensive Rebound
,,,39-49,2 - 15:41,-10,Emmanuel Omogbo,Free Throw Made,
Ronnie Boyce,Field Goal Attempt,,,2 - 15:21,,,,Emmanuel Omogbo Defensive Rebound
Ronnie Boyce,Defensive Foul,,,2 - 15:14,,,,
Ronnie Boyce,Left the Game,Damari Edwards Entered the Game,,2 - 15:14,,,,
,,,,2 - 15:06,,Andre Spight,Three Point Attempt,South Plains Offensive Rebound
,,,,2 - 15:02,,Andre Spight,Left the Game,Andre Horne Entered the Game
,,,,2 - 14:46,,Pat Birt,Three Point Attempt,Marlon Jones Offensive Rebound
,,,39-51,2 - 14:44,-12,Marlon Jones,Field Goal Made,
Devin Simms,Defensive Foul,,,2 - 14:44,,,,
,,,39-52,2 - 14:44,-13,Marlon Jones,Free Throw Made,
Corlbe Evin,Field Goal Attempt,,,2 - 14:31,,,,Andre Horne Defensive Rebound
,,Corlbe Evin Defensive Rebound,,2 - 14:18,,Jerron Martin,Three Point Attempt,
,,,,2 - 14:14,,Jerron Martin,Defensive Foul,
,,,,2 - 14:14,,Jerron Martin,Left the Game,Diamante Langston Entered the Game
,,,,2 - 14:01,,Emmanuel Omogbo,Defensive Foul,
Arlando Cook,Free Throw Made,,40-52,2 - 14:01,-12,,,
Arlando Cook,Free Throw Made,,41-52,2 - 14:01,-11,,,
,,,,2 - 13:31,,Pat Birt,Field Goal Attempt,Marlon Jones Offensive Rebound
Phabian Glasco,Defensive Foul,,,2 - 13:13,,,,
,,,41-53,2 - 13:13,-12,Emmanuel Omogbo,Free Throw Made,
,,,,2 - 13:13,,Emmanuel Omogbo,Free Throw Attempt,South Plains Offensive Rebound
,,Phabian Glasco Defensive Rebound,,2 - 13:13,,Emmanuel Omogbo,Free Throw Attempt,
Devin Simms,Turnover,,,2 - 12:47,,,,
,,,,2 - 12:46,,Andre Horne,Steal,
,,,,2 - 12:22,,Pat Birt,Three Point Attempt,Emmanuel Omogbo Offensive Rebound
,,,41-55,2 - 12:20,-14,Emmanuel Omogbo,Field Goal Made,
Corlbe Evin,Field Goal Attempt,,,2 - 12:03,,,,Emmanuel Omogbo Defensive Rebound
,,,,2 - 11:56,,Andre Horne,Turnover,
,,,,2 - 11:33,,Emmanuel Omogbo,Defensive Foul,
,,,,2 - 11:33,,Emmanuel Omogbo,Left the Game,Brandon Neel Entered the Game
Arlando Cook,Free Throw Attempt,Connors State Offensive Rebound,,2 - 11:33,,,,
Arlando Cook,Free Throw Made,,42-55,2 - 11:33,-13,,,
,,,42-58,2 - 11:14,-16,Andre Horne,Three Point Made,
,,,,2 - 11:13,,Brandon Neel,Assist,
Damari Edwards,Field Goal Attempt,,,2 - 10:53,,,,Diamante Langston Defensive Rebound
,,,42-61,2 - 10:45,-19,Andre Horne,Three Point Made,
,,,,2 - 10:44,,Diamante Langston,Assist,
Damari Edwards,Left the Game,Ronnie Boyce Entered the Game,,2 - 10:44,,,,
,,,,2 - 10:36,,Andre Horne,Defensive Foul,
Ronnie Boyce,Free Throw Made,,43-61,2 - 10:36,-18,,,
Ronnie Boyce,Free Throw Made,,44-61,2 - 10:36,-17,,,
,,,,2 - 10:20,,Pat Birt,Turnover,
Phabian Glasco,Steal,,,2 - 10:19,,,,
Corlbe Evin,Field Goal Attempt,Phabian Glasco Offensive Rebound,,2 - 10:13,,,,
Phabian Glasco,Field Goal Made,,46-61,2 - 10:09,-15,,,
,,,,2 - 9:49,,Andre Horne,Field Goal Attempt,Brandon Neel Offensive Rebound
Phabian Glasco,Defensive Foul,,,2 - 9:44,,,,
,,,,2 - 9:44,,Andre Horne,Left the Game,
,,,,2 - 9:44,,Brandon Neel,Left the Game,Andre Spight Entered the Game
