Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Dietrich Taylor,Defensive Foul,,,1 - 5:48,,,,
,,,,1 - 5:48,,Evan Moorman,Left the Game,
,,,,1 - 5:48,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 5:48,,Coris Williams Jr.,Left the Game,
,,,,1 - 5:48,,Jemerrio Jones,Left the Game,
,,,,1 - 5:48,,Kristian Keys,Left the Game,Marcus Johnson Jr. Entered the Game
,,,,1 - 5:48,,Devocio Butler,Entered the Game,
,,,,1 - 5:48,,Devocio Butler,Three Point Attempt,
,,,,1 - 5:48,,Coris Williams Jr.,Entered the Game,
,,,,1 - 5:48,,Coris Williams Jr.,Offensive Rebound,
,,,,1 - 5:48,,Tyrell Bellot-Green,Entered the Game,
,,,22-24,1 - 5:48,-2 (L5),Tyrell Bellot-Green,Three Point Made,
,,,,1 - 5:48,,Devocio Butler,Assist,
,,,,1 - 5:48,,Jemerrio Jones,Entered the Game,
Marcus Washington,Field Goal Attempt,,,1 - 5:04,,,,
,,,,1 - 5:03,,Jemerrio Jones,Blocked shot,
Daryl Macon,Offensive Rebound,,,1 - 5:02,,,,
Jarvis Williams,Field Goal Made,,24-24,1 - 4:50,(T2),,,
,,Daryl Macon Defensive Rebound,,1 - 4:23,,Marcus Johnson Jr.,Field Goal Attempt,
Cedric Harper,Field Goal Attempt,,,1 - 4:11,,,,Tyrell Bellot-Green Defensive Rebound
,,,24-26,1 - 4:05,-2 (L6),Jemerrio Jones,Field Goal Made,
,,,,1 - 4:05,,Marcus Johnson Jr.,Assist,
Jarvis Williams,Field Goal Made,,26-26,1 - 3:47,(T3),,,
,,,,1 - 3:29,,Tyrell Bellot-Green,Three Point Attempt,Jemerrio Jones Offensive Rebound
,,,,1 - 3:25,,Jemerrio Jones,Field Goal Attempt,
Dietrich Taylor,Blocked shot,,,1 - 3:24,,,,
Dietrich Taylor,Defensive Rebound,,,1 - 3:24,,,,
Daryl Macon,Left the Game,Edward Davis Entered the Game,,1 - 3:06,,,,
Dietrich Taylor,Field Goal Made,,28-26,1 - 2:59,2 (L7),,,
Edward Davis,Assist,,,1 - 2:58,,,,
,,,,1 - 2:43,,Devocio Butler,Turnover,
Dietrich Taylor,Left the Game,Vercell Webster Entered the Game,,1 - 2:43,,,,
Edward Davis,Turnover,,,1 - 2:26,,,,
,,,,1 - 2:25,,Devocio Butler,Steal,
,,,28-28,1 - 2:17,(T4),Jemerrio Jones,Field Goal Made,
,,,,1 - 2:16,,Coris Williams Jr.,Assist,
Vercell Webster,Field Goal Attempt,,,1 - 2:01,,,,Marcus Johnson Jr. Defensive Rebound
,,,28-30,1 - 1:48,-2 (L8),Jemerrio Jones,Field Goal Made,
,,,,1 - 1:48,,Coris Williams Jr.,Assist,
Jarvis Williams,Left the Game,,,1 - 1:48,,,,
Marcus Washington,Left the Game,,,1 - 1:48,,,,
Cedric Harper,Left the Game,,,1 - 1:48,,,,
Edward Davis,Left the Game,,,1 - 1:48,,,,
Vercell Webster,Left the Game,Dietrich Taylor Entered the Game,,1 - 1:48,,,,
Daryl Macon,Entered the Game,,,1 - 1:48,,,,
Jarvis Williams,Entered the Game,,,1 - 1:48,,,,
Vercell Webster,Entered the Game,,,1 - 1:48,,,,
Marcus Washington,Entered the Game,,,1 - 1:48,,,,
Marcus Washington,Three Point Made,,31-30,1 - 1:32,1 (L9),,,
Daryl Macon,Assist,,,1 - 1:31,,,,
,,,31-33,1 - 1:15,-2 (L10),Marcus Johnson Jr.,Three Point Made,
,,,,1 - 1:14,,Jemerrio Jones,Assist,
Dietrich Taylor,Field Goal Attempt,,,1 - 0:56,,,,Jemerrio Jones Defensive Rebound
,,Daryl Macon Defensive Rebound,,1 - 0:30,,Tyrell Bellot-Green,Field Goal Attempt,
,,,,1 - 0:30,,Jemerrio Jones,Defensive Foul,
,,,,1 - 0:30,,Jemerrio Jones,Left the Game,Kristian Keys Entered the Game
Marcus Washington,Three Point Attempt,Dietrich Taylor Offensive Rebound,,1 - 0:02,,,,
Dietrich Taylor,Field Goal Attempt,Holmes CC Offensive Rebound,,1 - 0:01,,,,
Jarvis Williams,Left the Game,,,2 - 20:00,,,,
Marcus Washington,Left the Game,,,2 - 20:00,,,,
Daryl Macon,Left the Game,,,2 - 20:00,,,,
Dietrich Taylor,Left the Game,,,2 - 20:00,,,,
Vercell Webster,Left the Game,,,2 - 20:00,,,,
,,,,2 - 20:00,,Tyrell Bellot-Green,Left the Game,
,,,,2 - 20:00,,Marcus Johnson Jr.,Left the Game,
,,,,2 - 20:00,,Coris Williams Jr.,Left the Game,
,,,,2 - 20:00,,Devocio Butler,Left the Game,
,,,,2 - 20:00,,Kristian Keys,Left the Game,
11 Torlorf Thomas,Entered Game,,,,,,,
3 Marcus Washington,Entered Game,,,,,,,
4 Daryl Macon,Entered Game,,,,,,,
12 Cedric Harper,Entered Game,,,,,,,
32 Dietrich Taylor,Entered Game,,,,,,,
Torlorf Thomas,Three Point Attempt,,,2 - 19:56,,,,Kristian Keys Defensive Rebound
,,Holmes CC Defensive Rebound,,2 - 19:20,,Tyrell Bellot-Green,Three Point Attempt,
Daryl Macon,Field Goal Attempt,,,2 - 18:55,,,,Coris Williams Jr. Defensive Rebound
,,Dietrich Taylor Defensive Rebound,,2 - 18:49,,Marcus Johnson Jr.,Field Goal Attempt,
Daryl Macon,Field Goal Attempt,,,2 - 18:42,,,,Tyrell Bellot-Green Defensive Rebound
,,,31-35,2 - 18:31,-4,Coris Williams Jr.,Field Goal Made,
,,,,2 - 18:31,,Tyrell Bellot-Green,Assist,
Cedric Harper,Defensive Foul,,,2 - 18:30,,,,
Cedric Harper,Left the Game,R.J. Scott Entered the Game,,2 - 18:30,,,,
,,Dietrich Taylor Defensive Rebound,,2 - 18:30,,Coris Williams Jr.,Free Throw Attempt,
R.J. Scott,Field Goal Made,,33-35,2 - 18:11,-2,,,
Marcus Washington,Assist,,,2 - 18:09,,,,
,,,33-37,2 - 17:59,-4,Marcus Johnson Jr.,Field Goal Made,
,,,,2 - 17:50,,Tyrell Bellot-Green,Defensive Foul,
,,,,2 - 17:42,,Coris Williams Jr.,Defensive Foul,
Torlorf Thomas,Three Point Attempt,,,2 - 17:30,,,,Jemerrio Jones Defensive Rebound
,,Daryl Macon Defensive Rebound,,2 - 17:17,,Marcus Johnson Jr.,Three Point Attempt,
Daryl Macon,Field Goal Made,,35-37,2 - 17:06,-2,,,
,,R.J. Scott Defensive Rebound,,2 - 16:42,,Jemerrio Jones,Field Goal Attempt,
Daryl Macon,Field Goal Attempt,,,2 - 16:32,,,,Coris Williams Jr. Defensive Rebound
Torlorf Thomas,Defensive Foul,,,2 - 16:29,,,,
Torlorf Thomas,Left the Game,,,2 - 16:29,,,,
Dietrich Taylor,Left the Game,Jarvis Williams Entered the Game,,2 - 16:29,,,,
Cedric Harper,Entered the Game,,,2 - 16:29,,,,
,,,35-38,2 - 16:29,-3,Marcus Johnson Jr.,Free Throw Made,
,,,35-39,2 - 16:29,-4,Marcus Johnson Jr.,Free Throw Made,
Cedric Harper,Field Goal Made,,37-39,2 - 16:14,-2,,,
Marcus Washington,Assist,,,2 - 16:13,,,,
,,Daryl Macon Defensive Rebound,,2 - 16:03,,Jemerrio Jones,Three Point Attempt,
Daryl Macon,Three Point Attempt,,,2 - 15:55,,,,Hill College Defensive Rebound
,,,,2 - 15:54,,Kristian Keys,Left the Game,Devocio Butler Entered the Game
,,,37-41,2 - 15:41,-4,Devocio Butler,Field Goal Made,
Daryl Macon,Field Goal Made,,39-41,2 - 15:29,-2,,,
Jarvis Williams,Defensive Foul,,,2 - 15:17,,,,
,,,39-42,2 - 15:17,-3,Jemerrio Jones,Free Throw Made,
,,R.J. Scott Defensive Rebound,,2 - 15:17,,Jemerrio Jones,Free Throw Attempt,
,,,,2 - 15:09,,Devocio Butler,Defensive Foul,
Daryl Macon,Free Throw Made,,40-42,2 - 15:09,-2,,,
Daryl Macon,Free Throw Made,,41-42,2 - 15:09,-1,,,
,,,,2 - 14:59,,Devocio Butler,Field Goal Attempt,
R.J. Scott,Blocked shot,,,2 - 14:57,,,,
Daryl Macon,Defensive Rebound,,,2 - 14:55,,,,
Jarvis Williams,Field Goal Made,,43-42,2 - 14:54,1 (L1),,,
Daryl Macon,Assist,,,2 - 14:53,,,,
,,,43-44,2 - 14:40,-1 (L2),Jemerrio Jones,Field Goal Made,
Daryl Macon,Field Goal Attempt,,,2 - 14:30,,,,Jemerrio Jones Defensive Rebound
Cedric Harper,Defensive Foul,,,2 - 14:05,,,,
Cedric Harper,Left the Game,,,2 - 14:05,,,,
R.J. Scott,Left the Game,Dietrich Taylor Entered the Game,,2 - 14:05,,,,
Vercell Webster,Entered the Game,,,2 - 14:05,,,,
,,,,2 - 14:05,,Coris Williams Jr.,Free Throw Attempt,Hill College Offensive Rebound
,,,43-45,2 - 14:05,-2,Coris Williams Jr.,Free Throw Made,
Marcus Washington,Field Goal Attempt,,,2 - 13:52,,,,Coris Williams Jr. Defensive Rebound
,,,,2 - 13:46,,Devocio Butler,Turnover,
Marcus Washington,Field Goal Attempt,,,2 - 13:33,,,,Jemerrio Jones Defensive Rebound
Dietrich Taylor,Defensive Foul,,,2 - 13:23,,,,
,,,,2 - 13:23,,Tyrell Bellot-Green,Left the Game,Evan Moorman Entered the Game
,,,43-46,2 - 13:23,-3,Coris Williams Jr.,Free Throw Made,
,,,43-47,2 - 13:23,-4,Coris Williams Jr.,Free Throw Made,
Daryl Macon,Field Goal Attempt,Daryl Macon Offensive Rebound,,2 - 13:06,,,,
Jarvis Williams,Three Point Attempt,Marcus Washington Offensive Rebound,,2 - 12:58,,,,
,,,,2 - 12:38,,Devocio Butler,Defensive Foul,
Jarvis Williams,Left the Game,Torlorf Thomas Entered the Game,,2 - 12:38,,,,
Marcus Washington,Three Point Attempt,Dietrich Taylor Offensive Rebound,,2 - 12:30,,,,
Dietrich Taylor,Field Goal Made,,45-47,2 - 12:28,-2,,,
,,Dietrich Taylor Defensive Rebound,,2 - 12:00,,Marcus Johnson Jr.,Three Point Attempt,
Marcus Washington,Field Goal Made,,47-47,2 - 11:51,(T1),,,
Daryl Macon,Assist,,,2 - 11:51,,,,
,,,,2 - 11:51,,Devocio Butler,Left the Game,Kristian Keys Entered the Game
Torlorf Thomas,Defensive Foul,,,2 - 11:41,,,,
,,,,2 - 11:32,,Evan Moorman,Turnover,
Vercell Webster,Field Goal Made,,49-47,2 - 11:15,2 (L3),,,
Torlorf Thomas,Assist,,,2 - 11:13,,,,
,,Dietrich Taylor Defensive Rebound,,2 - 11:00,,Evan Moorman,Three Point Attempt,
,,,,2 - 10:49,,Kristian Keys,Defensive Foul,
Daryl Macon,Free Throw Made,,50-47,2 - 10:49,3,,,
Daryl Macon,Free Throw Made,,51-47,2 - 10:49,4,,,
,,,,2 - 10:33,,Marcus Johnson Jr.,Field Goal Attempt,Kristian Keys Offensive Rebound
,,Holmes CC Defensive Rebound,,2 - 10:23,,Marcus Johnson Jr.,Three Point Attempt,
Torlorf Thomas,Field Goal Made,,53-47,2 - 10:12,6,,,
,,,,2 - 10:12,,Jemerrio Jones,Defensive Foul,
Torlorf Thomas,Free Throw Attempt,,,2 - 10:12,,,,Kristian Keys Defensive Rebound
,,,53-49,2 - 10:01,4,Jemerrio Jones,Field Goal Made,
,,,,2 - 10:01,,Evan Moorman,Assist,
Marcus Washington,Defensive Foul,,,2 - 10:00,,,,
,,,53-50,2 - 10:00,3,Jemerrio Jones,Free Throw Made,
Dietrich Taylor,Turnover,,,2 - 9:38,,,,
,,,,2 - 9:36,,Marcus Johnson Jr.,Steal,
,,,53-52,2 - 9:33,1,Kristian Keys,Field Goal Made,
,,,,2 - 9:32,,Marcus Johnson Jr.,Assist,
Daryl Macon,Three Point Attempt,Vercell Webster Offensive Rebound,,2 - 9:09,,,,
Vercell Webster,Field Goal Made,,55-52,2 - 9:04,3,,,
,,,,2 - 8:52,,Evan Moorman,Three Point Attempt,Jemerrio Jones Offensive Rebound
,,Dietrich Taylor Defensive Rebound,,2 - 8:47,,Jemerrio Jones,Field Goal Attempt,
Daryl Macon,Three Point Attempt,,,2 - 8:13,,,,Marcus Johnson Jr. Defensive Rebound
,,,55-54,2 - 8:03,1,Marcus Johnson Jr.,Field Goal Made,
,,,,2 - 7:58,,Evan Moorman,Left the Game,Tyrell Bellot-Green Entered the Game
Marcus Washington,Left the Game,,,2 - 7:58,,,,
Daryl Macon,Left the Game,,,2 - 7:58,,,,
Torlorf Thomas,Left the Game,,,2 - 7:58,,,,
Dietrich Taylor,Left the Game,,,2 - 7:58,,,,
Vercell Webster,Left the Game,Marcus Washington Entered the Game,,2 - 7:58,,,,
Daryl Macon,Entered the Game,,,2 - 7:58,,,,
Torlorf Thomas,Entered the Game,,,2 - 7:58,,,,
Cedric Harper,Entered the Game,,,2 - 7:58,,,,
Dietrich Taylor,Entered the Game,,,2 - 7:58,,,,
Marcus Washington,Left the Game,,,2 - 7:58,,,,
Daryl Macon,Left the Game,,,2 - 7:58,,,,
Torlorf Thomas,Left the Game,,,2 - 7:58,,,,
Cedric Harper,Left the Game,,,2 - 7:58,,,,
Dietrich Taylor,Left the Game,,,2 - 7:58,,,,
,,,,2 - 7:58,,Tyrell Bellot-Green,Left the Game,Evan Moorman Entered the Game
,,,,2 - 7:58,,Jemerrio Jones,Left the Game,Tyrell Bellot-Green Entered the Game
Jarvis Williams,Entered the Game,,,2 - 7:58,,,,
Marcus Washington,Entered the Game,,,2 - 7:58,,,,
Daryl Macon,Entered the Game,,,2 - 7:58,,,,
Cedric Harper,Entered the Game,,,2 - 7:58,,,,
Dietrich Taylor,Entered the Game,,,2 - 7:58,,,,
Marcus Washington,Field Goal Attempt,Jarvis Williams Offensive Rebound,,2 - 7:49,,,,
Daryl Macon,Field Goal Made,,57-54,2 - 7:26,3,,,
,,,57-56,2 - 7:15,1,Marcus Johnson Jr.,Field Goal Made,
,,,,2 - 7:08,,Tyrell Bellot-Green,Defensive Foul,
Daryl Macon,Free Throw Made,,58-56,2 - 7:08,2,,,
Daryl Macon,Free Throw Made,,59-56,2 - 7:08,3,,,
Cedric Harper,Defensive Foul,,,2 - 7:03,,,,
,,,59-57,2 - 7:03,2,Tyrell Bellot-Green,Free Throw Made,
,,Marcus Washington Defensive Rebound,,2 - 7:03,,Tyrell Bellot-Green,Free Throw Attempt,
,,,,2 - 6:43,,Kristian Keys,Defensive Foul,
,,,,2 - 6:43,,Kristian Keys,Left the Game,Jemerrio Jones Entered the Game
Daryl Macon,Free Throw Made,,60-57,2 - 6:43,3,,,
Daryl Macon,Free Throw Made,,61-57,2 - 6:43,4,,,
,,Jarvis Williams Defensive Rebound,,2 - 6:14,,Jemerrio Jones,Three Point Attempt,
Daryl Macon,Field Goal Attempt,Daryl Macon Offensive Rebound,,2 - 6:05,,,,
Daryl Macon,Field Goal Attempt,,,2 - 6:03,,,,
,,,,2 - 6:01,,Jemerrio Jones,Blocked shot,
Marcus Washington,Offensive Rebound,,,2 - 6:00,,,,
Cedric Harper,Field Goal Attempt,,,2 - 5:37,,,,Marcus Johnson Jr. Defensive Rebound
,,,61-59,2 - 5:30,2,Tyrell Bellot-Green,Field Goal Made,
,,,,2 - 5:18,,Coris Williams Jr.,Left the Game,Devocio Butler Entered the Game
Daryl Macon,Three Point Attempt,,,2 - 4:56,,,,Marcus Johnson Jr. Defensive Rebound
,,Dietrich Taylor Defensive Rebound,,2 - 4:51,,Jemerrio Jones,Field Goal Attempt,
Marcus Washington,Field Goal Made,,63-59,2 - 4:41,4,,,
Jarvis Williams,Assist,,,2 - 4:41,,,,
,,Cedric Harper Defensive Rebound,,2 - 4:28,,Marcus Johnson Jr.,Field Goal Attempt,
,,,,2 - 4:23,,Devocio Butler,Defensive Foul,
,,,,2 - 4:23,,Evan Moorman,Left the Game,Coris Williams Jr. Entered the Game
Daryl Macon,Free Throw Made,,64-59,2 - 4:23,5,,,
Daryl Macon,Free Throw Attempt,,,2 - 4:23,,,,Jemerrio Jones Defensive Rebound
,,,,2 - 3:58,,Tyrell Bellot-Green,Three Point Attempt,Jemerrio Jones Offensive Rebound
,,,64-61,2 - 3:56,3,Jemerrio Jones,Field Goal Made,
,,,,2 - 3:34,,Jemerrio Jones,Defensive Foul,
Cedric Harper,Left the Game,Vercell Webster Entered the Game,,2 - 3:34,,,,
Daryl Macon,Free Throw Attempt,Holmes CC Offensive Rebound,,2 - 3:34,,,,
Daryl Macon,Free Throw Made,,65-61,2 - 3:34,4,,,
,,,65-63,2 - 3:14,2,Tyrell Bellot-Green,Field Goal Made,
,,,,2 - 3:14,,Marcus Johnson Jr.,Assist,
Daryl Macon,Field Goal Made,,67-63,2 - 2:55,4,,,
,,,67-65,2 - 2:38,2,Coris Williams Jr.,Field Goal Made,
Daryl Macon,Three Point Attempt,,,2 - 2:21,,,,Hill College Defensive Rebound
Vercell Webster,Defensive Foul,,,2 - 2:21,,,,
Vercell Webster,Left the Game,Torlorf Thomas Entered the Game,,2 - 2:21,,,,
,,,67-66,2 - 2:21,1,Tyrell Bellot-Green,Free Throw Made,
,,Marcus Washington Defensive Rebound,,2 - 2:21,,Tyrell Bellot-Green,Free Throw Attempt,
Marcus Washington,Turnover,,,2 - 1:55,,,,
,,,67-68,2 - 1:46,-1 (L4),Marcus Johnson Jr.,Field Goal Made,
Marcus Washington,Field Goal Attempt,,,2 - 1:26,,,,Jemerrio Jones Defensive Rebound
,,,,2 - 1:09,,Marcus Johnson Jr.,Turnover,
Torlorf Thomas,Steal,,,2 - 1:08,,,,
Torlorf Thomas,Turnover,,,2 - 0:44,,,,
