Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,29-41,1 - 2:08,-12,Joel Angus III,Field Goal Made,
,,,,1 - 2:08,,Shakeem Wilson,Assist,
Shelton Hagigal,Field Goal Attempt,Clarence Williams Offensive Rebound,,1 - 1:50,,,,
Dilepso Blanco,Three Point Attempt,Shelton Hagigal Offensive Rebound,,1 - 1:37,,,,
Shelton Hagigal,Turnover,,,1 - 1:35,,,,
Shelton Hagigal,Left the Game,Aldonis foote Entered the Game,,1 - 1:33,,,,
,,,29-43,1 - 1:01,-14,Thomas Rivera,Field Goal Made,
Clarence Williams,Field Goal Attempt,,,1 - 0:44,,,,
,,,,1 - 0:42,,Lukas Landgren,Blocked shot,
,,,,1 - 0:41,,Joel Angus III,Defensive Rebound,
,,,29-45,1 - 0:39,-16,Shakeem Wilson,Field Goal Made,
,,,,1 - 0:39,,Joel Angus III,Assist,
Dilepso Blanco,Defensive Foul,,,1 - 0:39,,,,
Nicholai Brown,Left the Game,,,1 - 0:39,,,,
Melvin Swift,Left the Game,,,1 - 0:39,,,,
Dilepso Blanco,Left the Game,,,1 - 0:39,,,,
Clarence Williams,Left the Game,,,1 - 0:39,,,,
Aldonis foote,Left the Game,Dedrick Basile Entered the Game,,1 - 0:39,,,,
Shelton Hagigal,Entered the Game,,,1 - 0:39,,,,
Jerry Luckett Jr.,Entered the Game,,,1 - 0:39,,,,
Preston Anderson,Entered the Game,,,1 - 0:39,,,,
Devante Jackson,Entered the Game,,,1 - 0:39,,,,
,,Dedrick Basile Defensive Rebound,,1 - 0:39,,Shakeem Wilson,Free Throw Attempt,
Shelton Hagigal,Field Goal Made,,31-45,1 - 0:26,-14,,,
Dedrick Basile,Assist,,,1 - 0:13,,,,
,,,,1 - 0:02,,Thomas Rivera,Field Goal Attempt,
Devante Jackson,Blocked shot,,,1 - 0:01,,,,
Devante Jackson,Defensive Rebound,,,1 - 0:01,,,,
Dedrick Basile,Left the Game,,,2 - 20:00,,,,
Shelton Hagigal,Left the Game,,,2 - 20:00,,,,
Jerry Luckett Jr.,Left the Game,,,2 - 20:00,,,,
Preston Anderson,Left the Game,,,2 - 20:00,,,,
