Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Malik Dime,Left the Game,Jordan Washington Entered the Game,,1 - 11:26,,,,
,,,,1 - 11:26,,Marcus Washington,Left the Game,D`Angelo Richardson Entered the Game
,,,,1 - 11:26,,Torlorf Thomas,Left the Game,Marcus Washington Entered the Game
,,,,1 - 11:07,,Dietrich Taylor,Field Goal Attempt,
Akolda Manyang,Blocked shot,,,1 - 11:06,,,,
,,,,1 - 11:04,,Marcus Washington,Offensive Rebound,
,,,,1 - 10:56,,Jarvis Williams,Field Goal Attempt,Dietrich Taylor Offensive Rebound
Jordan Washington,Defensive Foul,,,1 - 10:53,,,,
,,,19-20,1 - 10:53,-1 (L8),Dietrich Taylor,Free Throw Made,
,,Akolda Manyang Defensive Rebound,,1 - 10:53,,Dietrich Taylor,Free Throw Attempt,
Jerrelle DeBerry,Three Point Attempt,,,1 - 10:40,,,,Marcus Washington Defensive Rebound
,,,,1 - 10:30,,Jarvis Williams,Turnover,
Jerrelle DeBerry,Steal,,,1 - 10:29,,,,
Jerrelle DeBerry,Turnover,,,1 - 10:28,,,,
,,,,1 - 10:08,,Vercell Webster,Field Goal Attempt,Marcus Washington Offensive Rebound
,,,19-22,1 - 10:07,-3,Marcus Washington,Field Goal Made,
,,,,1 - 9:59,,Jarvis Williams,Left the Game,
,,,,1 - 9:59,,Marcus Washington,Left the Game,
,,,,1 - 9:59,,D`Angelo Richardson,Left the Game,
,,,,1 - 9:59,,Dietrich Taylor,Left the Game,
,,,,1 - 9:59,,Vercell Webster,Left the Game,R.J. Scott Entered the Game
,,,,1 - 9:59,,Marcus Washington,Entered the Game,
,,,,1 - 9:59,,R.J. Scott,Field Goal Attempt,Marcus Washington Offensive Rebound
,,,19-24,1 - 9:59,-5,Marcus Washington,Field Goal Made,
,,,,1 - 9:59,,Marcus Washington,Left the Game,
,,,,1 - 9:59,,R.J. Scott,Left the Game,
Akolda Manyang,Left the Game,,,1 - 9:59,,,,
Gary Williams Jr.,Left the Game,,,1 - 9:59,,,,
Jordan Furlow,Left the Game,,,1 - 9:59,,,,
Jerrelle DeBerry,Left the Game,,,1 - 9:59,,,,
Jordan Washington,Left the Game,Jerrelle DeBerry Entered the Game,,1 - 9:59,,,,
Jordan Washington,Entered the Game,,,1 - 9:59,,,,
J.R. Harris,Entered the Game,,,1 - 9:59,,,,
Akolda Manyang,Entered the Game,,,1 - 9:59,,,,
Gary Williams Jr.,Entered the Game,,,1 - 9:59,,,,
,,,,1 - 9:59,,Jarvis Williams,Entered the Game,
,,,,1 - 9:59,,Marcus Washington,Entered the Game,
,,,,1 - 9:59,,D`Angelo Richardson,Entered the Game,
,,,,1 - 9:59,,R.J. Scott,Entered the Game,
