Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Michael Hunter,Field Goal Attempt,Sadiq Inuwa Offensive Rebound,,1 - 9:02,,,,
Sadiq Inuwa,Field Goal Made,,26-23,1 - 8:59,3,,,
,,,26-25,1 - 8:46,1,Ramond Jenkins,Field Goal Made,
,,,,1 - 8:46,,Justin Pride,Assist,
,,,,1 - 8:35,,Jamonte Graham,Defensive Foul,
Michael Carey,Left the Game,,,1 - 8:35,,,,
Sadiq Inuwa,Left the Game,Candido Sa Entered the Game,,1 - 8:35,,,,
Quincy Jackson,Entered the Game,,,1 - 8:35,,,,
,,,,1 - 8:35,,TJ Dunans,Left the Game,Blake Johnson Entered the Game
Michael Hunter,Free Throw Made,,27-25,1 - 8:35,2,,,
Michael Hunter,Free Throw Attempt,,,1 - 8:35,,,,Ramond Jenkins Defensive Rebound
,,,27-28,1 - 8:04,-1 (L6),Taljon Cromer,Three Point Made,
,,,,1 - 8:04,,Jamonte Graham,Assist,
Michael Hunter,Field Goal Made,,29-28,1 - 7:42,1 (L7),,,
,,,,1 - 7:34,,Justin Pride,Field Goal Attempt,
Candido Sa,Blocked shot,,,1 - 7:32,,,,
,,,,1 - 7:31,,Ramond Jenkins,Offensive Rebound,
,,Naiel Smith Defensive Rebound,,1 - 7:29,,Jamonte Graham,Three Point Attempt,
Willie Mangum,Turnover,,,1 - 7:18,,,,
,,,,1 - 7:17,,Blake Johnson,Steal,
,,,29-30,1 - 7:11,-1 (L8),Jamonte Graham,Field Goal Made,
,,,,1 - 7:08,,Justin Pride,Assist,
Candido Sa,Field Goal Made,,31-30,1 - 6:52,1 (L9),,,
Naiel Smith,Assist,,,1 - 6:52,,,,
,,,,1 - 6:48,,Blake Johnson,Turnover,
Naiel Smith,Left the Game,,,1 - 6:48,,,,
Candido Sa,Left the Game,,,1 - 6:48,,,,
Willie Mangum,Left the Game,,,1 - 6:48,,,,
Michael Hunter,Left the Game,,,1 - 6:48,,,,
Quincy Jackson,Left the Game,Jevonlean Hedgeman Entered the Game,,1 - 6:48,,,,
Willie Mangum,Entered the Game,,,1 - 6:48,,,,
Michael Hunter,Entered the Game,,,1 - 6:48,,,,
Candido Sa,Entered the Game,,,1 - 6:48,,,,
Naiel Smith,Entered the Game,,,1 - 6:48,,,,
Candido Sa,Three Point Attempt,,,1 - 6:37,,,,Ramond Jenkins Defensive Rebound
,,,,1 - 6:31,,Blake Johnson,Turnover,
Jevonlean Hedgeman,Steal,,,1 - 6:27,,,,
,,,,1 - 6:26,,Jamonte Graham,Defensive Foul,
