Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 10:26,,Tyrell Bellot-Green,Steal,
,,,16-28,1 - 10:21,-12,Tyrell Bellot-Green,Three Point Made,
,,,,1 - 10:21,,Marcus Johnson Jr.,Assist,
Randy Holmes,Field Goal Made,,18-28,1 - 10:02,-10,,,
,,Greg Tucker Defensive Rebound,,1 - 9:53,,Tyrell Bellot-Green,Three Point Attempt,
Greg Tucker,Field Goal Made,,20-28,1 - 9:44,-8,,,
,,Randy Holmes Defensive Rebound,,1 - 9:25,,Evan Moorman,Three Point Attempt,
Anthony Vidure,Field Goal Made,,22-28,1 - 9:15,-6,,,
Anthony Vidure,Left the Game,,,1 - 9:14,,,,
Greg Tucker,Left the Game,,,1 - 9:14,,,,
Jamal McDowell,Left the Game,,,1 - 9:14,,,,
Randy Holmes,Left the Game,,,1 - 9:14,,,,
Jalen Norman,Left the Game,,,1 - 9:14,,,,
,,,,1 - 9:14,,Evan Moorman,Left the Game,
,,,,1 - 9:14,,Tyrell Bellot-Green,Left the Game,
,,,,1 - 9:14,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 9:14,,Jemerrio Jones,Left the Game,
,,,,1 - 9:14,,Devocio Butler,Left the Game,Evan Moorman Entered the Game
,,,,1 - 9:14,,Tyrell Bellot-Green,Entered the Game,
,,,,1 - 9:14,,Marcus Johnson Jr.,Entered the Game,
,,,,1 - 9:14,,Coris Williams Jr.,Entered the Game,
,,,,1 - 9:14,,Kristian Keys,Entered the Game,
Jalen Norman,Entered the Game,,,1 - 9:14,,,,
Jamal McDowell,Entered the Game,,,1 - 9:14,,,,
Randy Holmes,Entered the Game,,,1 - 9:14,,,,
Anthony Vidure,Entered the Game,,,1 - 9:14,,,,
Greg Tucker,Entered the Game,,,1 - 9:14,,,,
,,,,1 - 9:04,,Tyrell Bellot-Green,Turnover,
Jalen Norman,Steal,,,1 - 9:03,,,,
Anthony Vidure,Field Goal Attempt,,,1 - 9:00,,,,
,,,,1 - 8:59,,Kristian Keys,Blocked shot,
Jalen Norman,Offensive Rebound,,,1 - 8:59,,,,
,,,,1 - 8:59,,Evan Moorman,Defensive Foul,
Jalen Norman,Free Throw Made,,23-28,1 - 8:59,-5,,,
Jalen Norman,Free Throw Attempt,,,1 - 8:59,,,,Coris Williams Jr. Defensive Rebound
Anthony Vidure,Turnover,,,1 - 8:46,,,,
Greg Tucker,Left the Game,Malik Brown Entered the Game,,1 - 8:46,,,,
,,,,1 - 8:46,,Tyrell Bellot-Green,Left the Game,Jemerrio Jones Entered the Game
Jalen Norman,Field Goal Made,,25-28,1 - 8:21,-3,,,
Randy Holmes,Assist,,,1 - 8:21,,,,
,,,,1 - 8:06,,Jemerrio Jones,Turnover,
Jamal McDowell,Steal,,,1 - 8:05,,,,
Anthony Vidure,Offensive Foul,,,1 - 8:00,,,,
