Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 9:27,,Calvin Davis,Left the Game,Demetres Abrams Entered the Game
Tyler Chandler,Free Throw Attempt,NW College Offensive Rebound,,1 - 9:27,,,,
Tyler Chandler,Free Throw Made,,22-14,1 - 9:27,8,,,
,,EJ Hubbard Defensive Rebound,,1 - 9:09,,Anthony Vanhook,Field Goal Attempt,
Ammar Rehman,Three Point Made,,25-14,1 - 8:59,11,,,
EJ Hubbard,Assist,,,1 - 8:58,,,,
,,Daryle Morgan Defensive Rebound,,1 - 8:38,,Aaron Thomas,Field Goal Attempt,
Colin May,Three Point Attempt,,,1 - 8:26,,,,Aaron Thomas Defensive Rebound
,,,25-16,1 - 8:16,9,Parris Manning,Field Goal Made,
,,,,1 - 8:15,,Demetres Abrams,Assist,
Ammar Rehman,Turnover,,,1 - 8:05,,,,
,,,,1 - 8:04,,Parris Manning,Steal,
,,,25-18,1 - 8:03,7,Parris Manning,Field Goal Made,
EJ Hubbard,Three Point Attempt,,,1 - 7:36,,,,Demetres Abrams Defensive Rebound
Ammar Rehman,Defensive Foul,,,1 - 7:35,,,,
Ammar Rehman,Left the Game,Christopher Boucher Entered the Game,,1 - 7:35,,,,
Daryle Morgan,Left the Game,,,1 - 7:35,,,,
EJ Hubbard,Left the Game,,,1 - 7:35,,,,
Colin May,Left the Game,,,1 - 7:35,,,,
Christopher Boucher,Left the Game,,,1 - 7:35,,,,
Tyler Chandler,Left the Game,,,1 - 7:35,,,,
,,,,1 - 7:35,,Aaron Thomas,Left the Game,
,,,,1 - 7:35,,Demetres Abrams,Left the Game,
,,,,1 - 7:35,,Anthony Vanhook,Left the Game,
,,,,1 - 7:35,,Matt Lindsey,Left the Game,
,,,,1 - 7:35,,Parris Manning,Left the Game,Demetres Abrams Entered the Game
,,,,1 - 7:35,,Nate Sims,Entered the Game,
,,,,1 - 7:35,,Matt Lindsey,Entered the Game,
,,,,1 - 7:35,,Parris Manning,Entered the Game,
,,,,1 - 7:35,,Anthony Vanhook,Entered the Game,
,,,,1 - 7:35,,Anthony Vanhook,Free Throw Attempt,
Christopher Boucher,Entered the Game,,,1 - 7:35,,,,
Christopher Boucher,Defensive Rebound,,,1 - 7:35,,,,
William Desilien,Entered the Game,,,1 - 7:35,,,,
Colin May,Entered the Game,,,1 - 7:35,,,,
EJ Hubbard,Entered the Game,,,1 - 7:35,,,,
Daryle Morgan,Entered the Game,,,1 - 7:35,,,,
Christopher Boucher,Turnover,,,1 - 7:24,,,,
,,,,1 - 7:08,,Matt Lindsey,Turnover,
William Desilien,Steal,,,1 - 7:08,,,,
Christopher Boucher,Field Goal Made,,27-18,1 - 6:56,9,,,
Daryle Morgan,Assist,,,1 - 6:56,,,,
,,EJ Hubbard Defensive Rebound,,1 - 6:43,,Parris Manning,Three Point Attempt,
William Desilien,Turnover,,,1 - 6:39,,,,
,,,,1 - 6:39,,Nate Sims,Left the Game,
,,,,1 - 6:39,,Demetres Abrams,Left the Game,
,,,,1 - 6:39,,Anthony Vanhook,Left the Game,
,,,,1 - 6:39,,Matt Lindsey,Left the Game,
,,,,1 - 6:39,,Parris Manning,Left the Game,
William Desilien,Left the Game,,,1 - 6:39,,,,
Daryle Morgan,Left the Game,,,1 - 6:39,,,,
EJ Hubbard,Left the Game,,,1 - 6:39,,,,
Colin May,Left the Game,,,1 - 6:39,,,,
Christopher Boucher,Left the Game,,,1 - 6:39,,,,
,,,,1 - 6:39,,Nate Sims,Entered the Game,
,,,,1 - 6:39,,TJ Evans,Entered the Game,
,,,,1 - 6:39,,Demetres Abrams,Entered the Game,
,,,,1 - 6:39,,Anthony Vanhook,Entered the Game,
,,,,1 - 6:39,,Cordea Wilson,Entered the Game,
William Desilien,Entered the Game,,,1 - 6:39,,,,
