Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 7:12,,Faith Pope,Steal,
,,,,1 - 7:10,,Ronnie Stacy,Field Goal Attempt,Dominique Shaw Offensive Rebound
,,,26-26,1 - 7:06,(T10),Dominique Shaw,Field Goal Made,
Arlando Cook,Field Goal Attempt,,,1 - 6:40,,,,Ikenna Okwarabizie Defensive Rebound
,,,,1 - 6:29,,Faith Pope,Turnover,
Arlando Cook,Left the Game,,,1 - 6:29,,,,
Damari Edwards,Left the Game,,,1 - 6:29,,,,
Kayshaune Spencer,Left the Game,,,1 - 6:29,,,,
Devin Simms,Left the Game,,,1 - 6:29,,,,
Erick Broadnax,Left the Game,,,1 - 6:29,,,,
,,,,1 - 6:29,,Levi Yancy,Left the Game,
,,,,1 - 6:29,,Dominique Shaw,Left the Game,
,,,,1 - 6:29,,Faith Pope,Left the Game,
,,,,1 - 6:29,,Ronnie Stacy,Left the Game,
,,,,1 - 6:29,,Ikenna Okwarabizie,Left the Game,Dominique Shaw Entered the Game
,,,,1 - 6:29,,Faith Pope,Entered the Game,
,,,,1 - 6:29,,Ronnie Stacy,Entered the Game,
,,,,1 - 6:29,,Dominique Shaw,Left the Game,Dominique Shaw Entered the Game
,,,,1 - 6:29,,Levi Yancy,Entered the Game,
,,,,1 - 6:29,,Ikenna Okwarabizie,Entered the Game,
Arlando Cook,Entered the Game,,,1 - 6:29,,,,
Damari Edwards,Entered the Game,,,1 - 6:29,,,,
Kayshaune Spencer,Entered the Game,,,1 - 6:29,,,,
Devin Simms,Entered the Game,,,1 - 6:29,,,,
Erick Broadnax,Entered the Game,,,1 - 6:29,,,,
Arlando Cook,Turnover,,,1 - 6:15,,,,
,,,,1 - 6:14,,Ronnie Stacy,Steal,
,,,26-28,1 - 6:12,-2 (L11),Faith Pope,Field Goal Made,
,,,,1 - 6:12,,Ronnie Stacy,Assist,
Devin Simms,Field Goal Attempt,,,1 - 5:38,,,,Ikenna Okwarabizie Defensive Rebound
,,Arlando Cook Defensive Rebound,,1 - 5:13,,Dominique Shaw,Field Goal Attempt,
,,,,1 - 5:07,,Dominique Shaw,Defensive Foul,
Kayshaune Spencer,Left the Game,,,1 - 5:07,,,,
Erick Broadnax,Left the Game,Ronnie Boyce Entered the Game,,1 - 5:07,,,,
Phabian Glasco,Entered the Game,,,1 - 5:07,,,,
Damari Edwards,Free Throw Made,,27-28,1 - 5:07,-1,,,
Damari Edwards,Free Throw Made,,28-28,1 - 5:07,(T11),,,
,,,28-30,1 - 4:43,-2 (L12),Ronnie Stacy,Field Goal Made,
,,,,1 - 4:42,,Dominique Shaw,Assist,
Ronnie Boyce,Turnover,,,1 - 4:27,,,,
,,,,1 - 4:26,,Faith Pope,Steal,
,,,,1 - 4:13,,Dominique Shaw,Field Goal Attempt,Levi Yancy Offensive Rebound
,,,28-32,1 - 4:03,-4,Faith Pope,Field Goal Made,
,,,,1 - 4:03,,Dominique Shaw,Assist,
,,,,1 - 3:59,,Ikenna Okwarabizie,Left the Game,John Paul Entered the Game
Ronnie Boyce,Field Goal Attempt,,,1 - 3:47,,,,Faith Pope Defensive Rebound
,,Phabian Glasco Defensive Rebound,,1 - 3:11,,Levi Yancy,Field Goal Attempt,
Arlando Cook,Field Goal Made,,30-32,1 - 3:01,-2,,,
Ronnie Boyce,Assist,,,1 - 3:01,,,,
,,,,1 - 2:39,,Levi Yancy,Turnover,
Damari Edwards,Steal,,,1 - 2:38,,,,
Devin Simms,Field Goal Attempt,,,1 - 2:34,,,,Dominique Shaw Defensive Rebound
,,,30-34,1 - 1:59,-4,Ronnie Stacy,Field Goal Made,
Phabian Glasco,Turnover,,,1 - 1:42,,,,
,,,,1 - 1:42,,John Paul,Left the Game,Dale Jones Entered the Game
,,,,1 - 1:42,,Dale Jones,Left the Game,Ikenna Okwarabizie Entered the Game
,,,,1 - 1:20,,Dominique Shaw,Turnover,
Ronnie Boyce,Steal,,,1 - 1:19,,,,
,,,,1 - 1:18,,Ronnie Stacy,Defensive Foul,
Ronnie Boyce,Free Throw Made,,31-34,1 - 1:18,-3,,,
Ronnie Boyce,Free Throw Made,,32-34,1 - 1:18,-2,,,
