Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Keith Charleston,Steal,,,1 - 7:21,,,,
Jalen Jackson,Left the Game,Benji Bell Entered the Game,,1 - 7:17,,,,
Benji Bell,Turnover,,,1 - 7:10,,,,
,,Xavier Moon Defensive Rebound,,1 - 6:52,,Doniel Dean,Field Goal Attempt,
Xavier Moon,Three Point Attempt,,,1 - 6:45,,,,Terrence Thompson Defensive Rebound
,,,,1 - 6:36,,Doniel Dean,Field Goal Attempt,Doniel Dean Offensive Rebound
,,,,1 - 6:34,,Donovan Harris,Offensive Foul,
,,,,1 - 6:34,,Donovan Harris,Turnover,
Xavier Moon,Charge,,,1 - 6:34,,,,
,,,,1 - 6:34,,Montrel Goldston,Left the Game,Taquan Givens Entered the Game
Keith Charleston,Field Goal Made,,23-17,1 - 6:14,6,,,
Xavier Moon,Assist,,,1 - 6:14,,,,
,,,,1 - 5:52,,Donovan Harris,Field Goal Attempt,
Jordan Capps,Blocked shot,,,1 - 5:51,,,,
Brandon Austin,Defensive Rebound,,,1 - 5:50,,,,
,,,,1 - 5:49,,Taquan Givens,Defensive Foul,
,,,,1 - 5:49,,Taquan Givens,Left the Game,Montrel Goldston Entered the Game
Brandon Austin,Free Throw Made,,24-17,1 - 5:49,7,,,
Brandon Austin,Free Throw Made,,25-17,1 - 5:49,8,,,
,,,25-20,1 - 5:27,5,Ty Toney,Three Point Made,
,,,,1 - 5:27,,Doniel Dean,Assist,
Brandon Austin,Offensive Foul,,,1 - 5:23,,,,
Brandon Austin,Turnover,,,1 - 5:23,,,,
Keith Charleston,Defensive Foul,,,1 - 5:05,,,,
,,,25-21,1 - 5:05,4,Donovan Harris,Free Throw Made,
,,,25-22,1 - 5:05,3,Donovan Harris,Free Throw Made,
Jordan Capps,Field Goal Made,,27-22,1 - 4:44,5,,,
Benji Bell,Assist,,,1 - 4:44,,,,
Brandon Austin,Left the Game,Jalen Jackson Entered the Game,,1 - 4:38,,,,
,,,,1 - 4:24,,Doniel Dean,Turnover,
Keith Charleston,Steal,,,1 - 4:24,,,,
,,,,1 - 4:23,,Terrence Thompson,Defensive Foul,
Keith Charleston,Free Throw Attempt,,,1 - 4:23,,,,Terrence Thompson Defensive Rebound
,,,27-24,1 - 4:01,3,Donovan Harris,Field Goal Made,
Benji Bell,Field Goal Made,,29-24,1 - 3:42,5,,,
,,Jordan Capps Defensive Rebound,,1 - 3:22,,Ty Toney,Three Point Attempt,
Jalen Jackson,Field Goal Made,,31-24,1 - 3:17,7,,,
Benji Bell,Assist,,,1 - 3:16,,,,
,,,31-27,1 - 3:01,4,Terrence Thompson,Three Point Made,
,,,,1 - 2:59,,Doniel Dean,Assist,
Xavier Moon,Three Point Attempt,,,1 - 2:46,,,,Donovan Harris Defensive Rebound
,,,31-29,1 - 2:22,2,Terrence Thompson,Field Goal Made,
Benji Bell,Field Goal Attempt,Jordan Capps Offensive Rebound,,1 - 2:14,,,,
Jordan Capps,Field Goal Made,,33-29,1 - 2:12,4,,,
,,,,1 - 2:05,,Ty Toney,Three Point Attempt,Terrence Thompson Offensive Rebound
Jordan Capps,Defensive Foul,,,1 - 2:05,,,,
,,,,1 - 2:05,,Donovan Harris,Left the Game,Denzel Council Entered the Game
,,,,1 - 2:05,,Terrence Thompson,Free Throw Attempt,Georgia Highlands Offensive Rebound
,,,33-30,1 - 2:05,3,Terrence Thompson,Free Throw Made,
Benji Bell,Field Goal Attempt,,,1 - 1:54,,,,Ty Toney Defensive Rebound
,,,33-32,1 - 1:44,1,Doniel Dean,Field Goal Made,
Jordan Capps,Field Goal Attempt,,,1 - 1:25,,,,Montrel Goldston Defensive Rebound
,,,,1 - 1:13,,Ty Toney,Field Goal Attempt,
Jordan Capps,Blocked shot,,,1 - 1:13,,,,
,,Keith Charleston Defensive Rebound,,1 - 1:08,,Ty Toney,Three Point Attempt,
Keith Charleston,Field Goal Attempt,,,1 - 0:55,,,,Doniel Dean Defensive Rebound
Jordan Capps,Defensive Foul,,,1 - 0:39,,,,
,,,,1 - 0:39,,Ty Toney,Left the Game,Donovan Harris Entered the Game
,,,33-33,1 - 0:39,(T2),Terrence Thompson,Free Throw Made,
,,,33-34,1 - 0:39,-1 (L3),Terrence Thompson,Free Throw Made,
Benji Bell,Three Point Made,,36-34,1 - 0:13,2 (L4),,,
,,Keith Charleston Defensive Rebound,,1 - 0:04,,Terrence Thompson,Three Point Attempt,
,,,,2 - 20:00,,Doniel Dean,Left the Game,
,,,,2 - 20:00,,Montrel Goldston,Left the Game,
,,,,2 - 20:00,,Denzel Council,Left the Game,
,,,,2 - 20:00,,Terrence Thompson,Left the Game,
,,,,2 - 20:00,,Donovan Harris,Left the Game,
Xavier Moon,Left the Game,,,2 - 20:00,,,,
Jalen Jackson,Left the Game,,,2 - 20:00,,,,
Keith Charleston,Left the Game,,,2 - 20:00,,,,
Benji Bell,Left the Game,,,2 - 20:00,,,,
Jordan Capps,Left the Game,Jalen Jackson Entered the Game,,2 - 20:00,,,,
41 William Pfister,Entered Game,,,,,,,
22 Benji Bell,Entered Game,,,,,,,
1 Treshaad Williams,Entered Game,,,,,,,
5 Brandon Austin,Entered Game,,,,,,,
,,,,,,3 Denzel Council,Entered Game,
,,,,2 - 19:27,,Denzel Council,Turnover,
Benji Bell,Steal,,,2 - 19:26,,,,
,,,,2 - 19:21,,Doniel Dean,Defensive Foul,
Jalen Jackson,Free Throw Attempt,NW Florida Offensive Rebound,,2 - 19:21,,,,
Jalen Jackson,Free Throw Made,,37-34,2 - 19:21,3,,,
,,,37-36,2 - 18:51,1,Donovan Harris,Field Goal Made,
Brandon Austin,Three Point Attempt,William Pfister Offensive Rebound,,2 - 18:25,,,,
Jalen Jackson,Three Point Attempt,,,2 - 18:17,,,,Taquan Givens Defensive Rebound
Treshaad Williams,Defensive Foul,,,2 - 18:11,,,,
,,,37-37,2 - 18:11,(T1),Montrel Goldston,Free Throw Made,
,,,37-38,2 - 18:11,-1 (L1),Montrel Goldston,Free Throw Made,
Brandon Austin,Field Goal Attempt,,,2 - 17:42,,,,
,,,,2 - 17:42,,Donovan Harris,Blocked shot,
Brandon Austin,Offensive Rebound,,,2 - 17:42,,,,
,,,,2 - 17:42,,Donovan Harris,Defensive Foul,
,,,,2 - 17:42,,Denzel Council,Left the Game,Ty Toney Entered the Game
Brandon Austin,Free Throw Attempt,NW Florida Offensive Rebound,,2 - 17:42,,,,
Brandon Austin,Free Throw Made,,38-38,2 - 17:42,(T2),,,
Brandon Austin,Defensive Foul,,,2 - 17:27,,,,
,,,38-39,2 - 17:27,-1 (L2),Montrel Goldston,Free Throw Made,
,,Treshaad Williams Defensive Rebound,,2 - 17:27,,Montrel Goldston,Free Throw Attempt,
,,,,2 - 17:17,,Taquan Givens,Defensive Foul,
,,,,2 - 17:17,,Taquan Givens,Left the Game,Terrence Thompson Entered the Game
Jalen Jackson,Field Goal Attempt,,,2 - 17:11,,,,Terrence Thompson Defensive Rebound
,,,,2 - 17:03,,Ty Toney,Field Goal Attempt,Terrence Thompson Offensive Rebound
,,,,2 - 17:01,,Terrence Thompson,Field Goal Attempt,Donovan Harris Offensive Rebound
,,,,2 - 16:56,,Terrence Thompson,Field Goal Attempt,
William Pfister,Blocked shot,,,2 - 16:55,,,,
Benji Bell,Defensive Rebound,,,2 - 16:54,,,,
